codigo_pessoa;cpfcnpj_pessoa;codigo_banco;codigo_forma_pagamento;data_emissao;data_vencimento;valor;observacao;id_importacao;parcela;numero_titulo;numero_documento;valor_pago;data_ultimo_pagamento;codigo_plano_contas;valor_juros_pago;valor_desconto_pago
;29.525.564/0001-20;1;4;12/11/2021;13/11/2021;0,01;;782;1;662;;0,01;12/11/2021;7;0;0
;08.237.110/0001-83;1;4;28/10/2021;25/11/2021;1377;;821;1;604;;1415,38;29/11/2021;7;38,38;0
;31.086.629/0001-20;1;4;28/10/2021;27/11/2021;507,55;;844;1;607;;507,6;29/11/2021;7;0,05;0
;64.968.613/0001-08;1;4;29/10/2021;08/12/2021;2302,72;;891;1;615;;2357,97;13/12/2021;7;55,25;0
;07.141.537/0001-10;1;4;10/11/2021;08/12/2021;4964,08;;892;1;651;;5082,88;10/12/2021;7;118,8;0
;17.318.286/0001-50;1;4;28/10/2021;17/12/2021;2563;;925;3;612;;2629,38;20/12/2021;7;66,38;0
;43.284.608/0001-06;1;4;22/11/2021;20/12/2021;1978,56;;942;1;692;;2037,94;21/01/2022;7;59,38;0
;23.680.573/0001-09;1;4;06/12/2021;03/01/2022;565,92;;1000;1;749;;578,35;04/01/2022;7;12,43;0
;17.011.656/0001-02;1;4;07/12/2021;04/01/2022;1138,2;;1006;1;758;;1165,44;06/01/2022;7;27,24;0
;15.300.781/0001-07;1;4;04/01/2022;05/01/2022;0,01;;1010;1;820;;0,01;05/01/2022;7;0;0
;06.101.641/0001-19;10;4;02/02/2022;02/02/2022;1,88;;1099;2;811;;1,88;03/02/2022;7;0;0
;25.080.483/0001-02;10;4;19/01/2022;22/02/2022;977,76;;1189;1;877;;1006,92;22/02/2022;7;29,16;0
;30.748.562/0001-89;10;4;15/02/2022;02/03/2022;2039,85;;1241;1;1008;;2129,47;04/03/2022;7;89,62;0
;04.283.165/0003-30;10;4;16/03/2022;16/03/2022;1581,12;;1325;2;964;;1581,12;16/03/2022;7;0;0
;09.240.171/0001-62;10;4;24/02/2022;26/03/2022;594;;1399;1;1064;;595,1;30/03/2022;7;1,1;0
;43.512.084/0001-55;1;4;03/05/2022;04/05/2022;63,5;;1620;1;1387;;6400;04/05/2022;7;6336,5;0
;32.670.132/0001-17;10;4;02/05/2022;23/05/2022;1425;;1708;1;1371;;1456,35;23/05/2022;7;31,35;0
;55.013.718/0001-04;10;4;11/05/2022;08/06/2022;1341,51;;1838;1;1433;;134151;08/06/2022;7;132809,49;0
;39.911.398/0001-53;1;4;23/06/2022;23/06/2022;1206;;1971;1;1722;;1206;28/06/2022;7;0;0
;35.678.711/0001-02;1;4;19/09/2022;19/09/2022;355,06;;2625;3;2091;;355,06;03/10/2022;7;0;0
;18.491.778/0001-06;10;4;30/08/2022;27/09/2022;895,5;;2707;1;2176;;916,99;27/09/2022;7;21,49;0
;20.606.791/0001-05;1;4;15/12/2022;16/12/2022;0,01;;3348;1;2912;;0,01;16/12/2022;7;0;0
;15.300.781/0001-07;5;4;20/04/2023;20/04/2023;704,2;;4311;2;3713;;704,2;20/04/2023;7;0;0
;28.558.677/0001-69;8;4;11/09/2023;11/09/2023;99,75;;5577;2;4839;;99,75;29/09/2023;7;0;0
;35.935.900/0001-05;8;4;25/09/2023;25/09/2023;677,4;;5740;2;5002;;677,4;29/09/2023;7;0;0
;01.574.096/0001-64;8;4;05/10/2023;05/10/2023;0,17;;5832;4;4740;;0,17;05/10/2023;7;0;0
;04.283.165/0003-30;10;4;10/10/2023;24/11/2023;3120;;6356;1;5140;;5497,44;24/11/2024;7;2377,44;0
;36.719.507/0001-47;8;4;07/02/2024;07/02/2024;0,01;;7058;1;6071;;0,01;07/02/2024;7;0;0
;61.075.552/0001-53;10;4;15/02/2024;22/02/2024;702,72;;7186;1;6120;;707,72;22/02/2024;7;5;0
;11.409.175/0001-73;8;4;15/03/2024;15/03/2024;97,83;;7416;1;6349;;97,83;15/03/2024;7;0;0
